Descricao;Preco;;
PALITO BAMBU FIAT LUX C/100UN;0,68;10,00;7896007952144
PALITO DE DENTE GABOARDI 100UN;0,45;234,00;7896384518254
PALITO DE DENTE GABOARDI PREMIUM 100UN;0,85;152,00;7896384512542
PAPEL CELOFANE TRANSPARENTE 90X1M 50F;1,00;50,00;0002243586000
PAPEL DE PRESENTE SORTIDOS 50X60 50X3;0,95;146,00;7896647027189
PARAFUSO C/BUCHA N 6 F117A;1,85;12,00;7893006000425
PARAFUSO C/BUCHA N 8 F-118A;2,75;3,00;7893006001828
PINÇA MERHEJE;0,75;56,00;010
PINCEL BARBA CONDOR REF.2008 1UN;7,65;2,00;7891055300121
PORTA GARRAFA LITRO GREMIO C 8637;19,80;2,00;7899790203011
POTE  ZIPLOC QUADRADO DELETAR 900ML C/3UN;12,97;12,00;7898264719416
POTE ESSENCE VIDRO MEDIO 1,640ML;12,60;5,00;7891017022870
POTE JAGUAR SALADA RET 1270ML REF 4011;5,65;3,00;7896952540113
POTE ZIPLOC QUADRADO 600ML UN;3,70;8,00;7894650801000
PRATO DESCARTAVEL BRANCO DU DIGO 18CM;1,40;7,00;7898904062445
PRATO DESCARTAVEL BRANCO TOTAL/PLAST 26CM 10 UN;3,90;1,00;7898505140436
PRATO DESCARTAVEL N 18;1,30;2,00;7898505140412
PRATO ISOPOR  TORTA 28CM;1,15;10,00;0025
PREGO GERDAU 15X18 1KG;9,99;2,00;7891738018862
PREGO GERDAU 16X24 1KG;10,98;23,00;7891738028946
PREGO GERDAU 17X27 1KG;11,25;37,00;7891738018954
PREGO GERDAU 18X30 1KG;8,99;7,00;7891738019005
PREGO GERDAU 19X39 1KG;9,35;7,00;7891738019098
PREGO GERDAU 21X45 1KG;8,99;2,00;7891738019197
PRENDEDOR DE ROUPA CRISTAL 12UN;1,25;117,00;7896996600309
PRENDEDOR DE ROUPA GABOARDI 12 UN;1,25;8,00;7896384500129
PRENDEDOR DE ROUPA MADEIRA BOTH 12UN;1,00;13,00;7898021620016
PRENDEDOR DE ROUPA MADEIRA KEEPREND 12UN;1,25;27,00;7896648753209
PRENDEDOR DE ROUPA PLASTICO GABOARDI 12UN;1,50;16,00;7896384524613
REPELENTE RAID PAPEL C/12 FOLHAS;3,95;7,00;7894650004005
SACO PRESENTE CASUAL 20X29 50UN;0,50;100,00;7909107344389
SACO PRESENTE CROMUS ROMANTICO 30X44CM 50UN;0,90;50,00;7909107355507
SACO PRESENTE INFANTIL SORTIDO 30CMX45CM;0,60;50,00;7896647043738
SACO PRESENTE SORTIDO 25CMX35CM;0,50;50,00;7896647041888
SACOLA DECO SORTIDAS 32X26 C/10;2,95;9,00;33
SALADEIRA BELLA INCOLOR 2,00L C/031703;14,60;17,00;7894993987102
SALADEIRA BELLA INCOLOR 3,101L C/031803;20,80;6,00;7894993987201
SALADEIRA DURALEX ASTRAL GR 2,301 C040803;16,45;11,00;7894993030730
SILICONE MUTHOUSO 50GR 1423;7,75;4,00;7891960250061
SQUEEZE SLEEVE GREMIO 600ML C 4098;9,25;1,00;7898918061977
SQUEEZE SLEEVE INTER 600ML C 4099;9,25;2,00;7898918061984
SQUEEZE TERMICA GREMIO 550ML 5582;13,98;2,00;7898572950907
SQUEEZE TERMICA INTER 550ML C 5583;13,98;1,00;7898572950914
SUPER BONDER COLA 3G;4,50;140,00;7891200190942
SUPER BONDER COLA ORIGINAL 3G;4,50;10,00;7891200294466
SUPORTE FITA DUREX COLOR ELITA EL20032;20,85;1,00;7899842249882
TABUA DE VIDRO TEMPERADO NILO PLUS 19X28CM;6,99;2,00;6918604360182
TAÇA + TUBETE AMIGAS PARA SEMPRE;23,78;1,00;7898500813144
TAÇA + TUBETE CUNHADO PARCEIRO 340 ML;23,80;1,00;7898500812659
TAÇA + TUBETE DIVAS NUNCA DESCEM DO SALTO 340ML;23,80;2,00;7898500813069
TAÇA + TUBETE EXISTEM VARIAS MULH  EM VOÇE 340ML;23,80;1,00;7898500813106
TAÇA + TUBETE NASCIDA P/GASTAR 340ML;23,80;1,00;7898500810716
TAÇA +TUBETE PAIZAO 340ML C 7783;23,80;1,00;7898500812895
TAÇA +TUBETE PARABENS P/ CONQUISTA 340ML;23,80;1,00;7898500813182
TAÇA +TUBETE SUPER PAI (3441) 300ML;17,40;1,00;7899790205459
TAÇA DURALEX SOBREMESA ASTRAL TEMPERADO 250ML;4,20;24,00;7894993060232
TAÇA NA CX AMIGA CORUJA (3480);18,80;1,00;7899790205701
TAÇA NA CX AMIGA DIVA 300ML (3479);18,80;2,00;7899790205695
TAÇA NA CX AMOR PERFEITO (3483) 300ML;18,80;2,00;7899790205732
TAÇA NA CX DINHEIRO N/ COMPRA FELICIDADE (3473);18,80;2,00;7899790205633
TAÇA NA CX FELICIDADES 300ML (3544);18,80;5,00;7899790206173
TAÇA NA CX FORMATURA (3541);18,80;1,00;7899790206142
TAÇA NA CX MAE EU AMO VOCE FLORAL 300ML (3855);18,80;2,00;7899790209907
TAÇA NA CX SE CERVEJA FOSSE COMBUSTIVEL 300ML;18,80;2,00;7899790205541
TAÇA NA CX SUPER MAE (3856);18,80;1,00;7899790209914
TAÇA PREMIERE SOBREMESA TRANSPARENTE 480ML;6,99;22,00;7891017005712
TAÇA VINHO PREMIERE GRAN VINO 591ML;9,65;9,00;7891017005729
TOUCA P/ BANHO SANTA CLARA C/1UN;2,80;4,00;7897169200630
TOUCA P/BANHO SANTA CLARA C/2UN;2,25;1,00;7897169200661
TRENA MUTHOUSO 5M A339D;13,98;3,00;7893006007936
TUBO EXTENSIVO CONEX UNIVERSAL 72CM 1974;6,85;5,00;7897203419745
VARAL EM AÇO 10M;3,70;4,00;7898937515055
VARAL EM AÇO UNIFIO 15M;3,60;6,00;7898090991055
VASO IMPLAST QUADRADO MEDIO BCO REF.:827;7,70;3,00;7897679708275
AÇUCAR COLORIDO MIL CORES AMARELO 80G;1,55;2,00;7896072648102
AÇUCAR COLORIDO MIL CORES AZUL 80G;1,55;1,00;7896072648119
AÇUCAR COLORIDO VINOLAR 90G;3,15;2,00;7898409402012
BALA PAC PIETROBON CHOCOLATE CANDY MILK  250G;3,15;2,00;7896731012671
BALA PAC PIETROBON GIGANTES RECHEADAS 250G;3,30;3,00;7896731014323
BALA PAC PIETROBON GIGANTES RECHEADAS 600G;10,90;1,00;7896731014330
BALA PAC PIETROBON IOGURTE CREAM MORANGO 600G;6,75;1,00;7896731019830
BALA PAC PIETROBON MENTA 600G (94);7,20;2,00;7896731019861
BALA PAC PIETROBON MENTA 700G;7,45;2,00;7896731009138
BALA PAC PIETROBON TOFFEE SORTIDAS 250G;3,15;1,00;7896731013975
BALA PAC PIETROBON YOGURTE CREAM MORANGO 250G;3,15;1,00;7896731013289
BALA PAC PIETROBON YOGURTE CREAM UVA 250G;3,15;3,00;7896731019717
BALA PCT EMBARE CARAMELO/CHOCOLATE (128);0,15;256,00;7896259411932
BALA PCT FLORESTAL FRUTAS PREMIUM 1KG  (145);13,98;1,00;7896321000224
BALA PCT FLORESTAL IOGURTE 600G (120);5,97;3,00;7896321013644
BALA PCT FLORESTAL MENTA 700G (127);11,50;2,00;7896321009548
BALA PCT FLORESTAL SORTIDA (120);5,97;2,00;7896321013651
BALA PCT FLORESTAL ZOLLE FRAMBOESA (120);5,97;1,00;7896321013606
BALA PCT FLORESTAL ZUGGI SORTIDA 60G;1,90;2,00;7896321013521
BALA PCT FRUIT-TELLA CRUNCHIES 125G;4,25;3,00;7895144203232
BALA PCT FRUTOMILA RECHEADA 100G;2,25;1,00;7896306612992
BALA PCT NEUGEBAUER NOIG HORTELA 600G;9,55;1,00;7898423410611
BALA PCT PADUA TOFFEE CHOCCO´S 140G;2,70;1,00;7896011161723
BALA PCT PECCIN FRUTIBELO FRAMBOESA 100G;1,80;3,00;7896306612947
BALA PCT PECCIN FRUTIBELO FRAMBOESA 600G (154);8,49;1,00;7896306614262
BALA PCT PECCIN FRUTIGUTI SORTIDA 600G;7,65;1,00;7896306614248
BALA PCT PECCIN FRUTIGUTI YOGURT100G;2,60;7,00;7896306612930
BALA PCT PECCIN MENTA 250G;3,60;1,00;7896306617539
BALA PCT PECCIN MENTA 600G (121);8,51;1,00;7896306617522
BALA PCT PECCIN PURA MORANGO 150G;4,45;3,00;7896306615290
BALA PCT PECCIN PURA MORANGO 600G;16,50;1,00;7896306615863
BALA PCT PECCIN PURA PESSEGO 150G;4,45;3,00;7896306615252
BALA PCT PECCIN PURA UVA VERDE 35,1G;1,10;11,00;7896306616648
BALA PCT PECCIN TRI BALA 2 FRUTAS 100G;2,40;3,00;7896306613289
BALA PCT PIETROBON  MENTA 250G;3,15;1,00;7896731013296
BALA PCT PIETROBON AZEDINHA MORANGO 250G;3,30;2,00;7896731015436
BALA PCT PIETROBON BANANA 250G;4,65;3,00;7896731014255
BALA PCT PIETROBON BANANA 600G (87);11,90;1,00;7896731019434
BALA PCT PIETROBON CAFE 190G;3,50;2,00;7896731012299
BALA PCT PIETROBON CARAMELO 250G;4,65;2,00;7896731005321
BALA PCT RICLAN AZEDINHA MORANGO 600G (115);6,50;2,00;7891151031479
BALA PCT RICLAN MILK LEITE POCKET 100G;2,65;2,00;7891151007719
BALA PCT RICLAN MY CHOC/LEITE 600G (93);15,00;1,00;7891151035699
BALA PCT RICLAN MY TOFFEE CHOC 160G;4,55;1,00;7891151025713
BALA PCT RICLAN MY TOFFEE CHOCOLATE 750G (115);17,50;1,00;7891151025676
BALA PCT TRI BALA MORANGO 100G;2,75;1,00;7896306612954
BALA PT PIETROBON FUNCHO 200G;4,76;9,00;7896731011544
BALA PT PIETROBON GENGIBRE 200G;4,50;3,00;7896731011551
BALA PT PIETROBON MEL E GUACO 200G;4,50;2,00;7896731011520
BALA PT PIETROBON SORTIDAS 200G;4,75;12,00;7896731013722
BALA UN 7 BELO FRAMBOESA;0,10;235,00;99
BALA UN BUTTER TOFFEES CHOCOLATE (113);0,15;2.338,00;06
BALA UN CHITA SORTIDA  (120);7,80;669,00;300
BALA UN DORI IOGURTE ORIGINAL (140);0,10;644,00;201
BALA UN DORI YOGURTE FRUTAS ROJAS;0,10;112,00;250
BALA UN FLORESTAL IOGURTE;0,10;68,00;02
BALA UN NEUGEBAUER CAFE COFFEE;0,10;299,00;14
BALA UN PECCIN FRUIT & FRUIT (152);0,05;305,00;105
BALA UN PECCIN FRUTIBELO  (154);0,05;154,00;108
BALA UN PECCIN FRUTIGUTI  (152);0,10;437,00;107
BALA UN PIETROBON MENTA;0,10;1.290,80;127
BALA UN PIETROBON PITECO FRUTAS;12,90;1,00;87
BARRA CHOCOLATE ARCOR AMARGO 150G;5,15;4,00;7898142855625
BARRA CHOCOLATE ARCOR AMARGO 53% CACAU 140G;5,15;34,00;7898142860995
BARRA CHOCOLATE ARCOR AMENDOIM 140G;5,15;12,00;7898142860971
BARRA CHOCOLATE ARCOR AMENDOIM 150G;5,15;7,00;7898142858114
BARRA CHOCOLATE ARCOR AO LEITE 120G;5,45;31,00;7898142862227
BARRA CHOCOLATE ARCOR AO LEITE 140G;5,15;115,00;7898142860919
BARRA CHOCOLATE ARCOR AO LEITE 150G;5,15;1,00;7898142850026
BARRA CHOCOLATE ARCOR BRANCO 120G;5,45;7,00;7898142862265
BARRA CHOCOLATE ARCOR BRANCO 140G;5,15;35,00;7898142860933
BARRA CHOCOLATE ARCOR BRIGADEIRO 140G;5,15;16,00;7898142860957
BARRA CHOCOLATE ARCOR BRIGADEIRO 150G;5,15;3,00;7898142854833
BARRA CHOCOLATE ARCOR MEIO AMARGO 120G;5,45;12,00;7898142862241
BARRA CHOCOLATE ARCOR MEIO AMARGO 140G;5,15;62,00;7898142861015
BARRA CHOCOLATE ARCOR MESCLADO 120G;5,45;32,00;7898142862364
BARRA CHOCOLATE ARCOR MESCLADO 140G;5,15;47,00;7898142861077
BARRA CHOCOLATE ARCOR ROCKLETS 125G;5,45;11,00;7898142862401
BARRA CHOCOLATE ARCOR ROCKLETS 140G;5,15;50,00;7898142861053
BARRA CHOCOLATE ARCOR ROCKLETS 150G;5,15;3,00;7898142855601
BARRA CHOCOLATE ARCOR TORTUGUITA BCO COOKIES 100G;5,25;4,00;7898142861725
BARRA CHOCOLATE ARCOR TORTUGUITA C/COOKIES 150G;5,15;14,00;7898142856035
BARRA CHOCOLATE ARCOR TORTUGUITA CROCANTE 150G;5,15;7,00;7898142855649
BARRA CHOCOLATE ARCOR TRIPLO 140G;5,15;37,00;7898142861091
BARRA CHOCOLATE GAROTO AERO 101G;5,49;10,00;7891008008968
BARRA CHOCOLATE GAROTO AO LEITE 150G;5,49;121,00;7891008299908
BARRA CHOCOLATE GAROTO CAJU 150G;0,00;11,00;7891008395808
BARRA CHOCOLATE GAROTO CAJU/PASSAS 125G;5,49;11,00;7891008152791
BARRA CHOCOLATE GAROTO CROCANTE 125G;5,49;24,00;7891008153262
BARRA CHOCOLATE GAROTO CROCANTE 150G;0,00;8,00;7891008291902
BARRA CHOCOLATE GAROTO MEIO AMARG/AMENDOIM 150G;5,49;17,00;7891008126600
BARRA CHOCOLATE GAROTO MEIO AMARGO 125G;5,49;23,00;7891008153286
BARRA CHOCOLATE GAROTO OPERETA 125G;5,49;29,00;7891008153279
BARRA CHOCOLATE HERSHEYS AO LEITE 130G;4,49;11,00;7898292885206
BARRA CHOCOLATE HERSHEYS COOKIES 130G;4,49;10,00;7898292883738
BARRA CHOCOLATE HERSHEYS OVOMALTINE 130G;4,49;7,00;7898292884667
BARRA CHOCOLATE LACTA AO LEITE 150G;6,98;3,00;7622300851583
BARRA CHOCOLATE LACTA AO LEITE 170G;6,48;7,00;7896019621755
BARRA CHOCOLATE LACTA DIAMANTE NEGRO 170G;6,48;68,00;7896019352710
BARRA CHOCOLATE LACTA LAKA C/OREO 150G;6,98;6,00;7622300851392
BARRA CHOCOLATE LACTA MIX DIAMANTE NEGRO 160G;6,98;79,00;7622300826611
BARRA CHOCOLATE NESTLE ALPINO 150G;0,00;23,00;7891000103258
BARRA CHOCOLATE NESTLE ALPINO 170G;0,00;22,00;7891000011027
BARRA CHOCOLATE NESTLE ALPINO BLAK TOP 125G;6,20;14,00;7891000120637
BARRA CHOCOLATE NESTLE CLASSIC 125G;6,20;9,00;7891000111734
BARRA CHOCOLATE NESTLE CLASSIC AO LEITE 170G;0,00;13,00;7891000103340
BARRA CHOCOLATE NESTLE CRUNCH 115G;6,20;25,00;7891000111673
BARRA CHOCOLATE NESTLE CRUNCH 140G;0,00;10,00;7891000103432
BARRA CHOCOLATE NESTLE CRUNCH 160G;0,00;26,00;7891000012390
BARRA CHOCOLATE NESTLE CRUNCH AMENDOIN 140G;0,00;6,00;7891000105337
BARRA CHOCOLATE NESTLE DIPLOMATA 140G;6,20;17,00;7891000103401
BARRA CHOCOLATE NESTLE GALAK 150G;0,00;10,00;7891000103227
BARRA CHOCOLATE NEUGEBAUER AO LEITE 130G;3,65;23,00;7891330013678
BARRA CHOCOLATE NEUGEBAUER BRANCO 130G;3,65;10,00;7891330013692
BARRA CHOCOLATE NEUGEBAUER M.AMARGO/ CACAU 130G;3,65;16,00;7891330013753
BARRA CHOCOLATE NEUGEBAUER PRETO /BRANCO 130G;3,65;26,00;7891330013777
BIBS AMENDOIM 40G;2,25;48,00;7891330015139
BIBS CHOCOLATE AO LEITE 40G;2,25;38,00;7891330009176
BIBS CROCANTE 40G;2,25;19,00;7891330015214
BIBS PASSAS 40G;2,25;13,00;7891330015177
BIBS PRETO E BRANCO 40G;2,25;9,00;7891330013210
BIS LACTA CHOC BRANCO 126G;4,45;12,00;7622300807283
BIS LACTA LEITE 126G;4,45;122,00;7622300807399
BIS LACTA OREO 100,8G;4,76;9,00;7622300989316
BISCOITO MERTZ BAMBOLE C.BRANCO 175G;4,99;13,00;7898210381407
BISCOITO MERTZ BRIGADEIRO 175G;5,50;21,00;7898210381384
BISCOITO TRAKINAS MAIS CHOCOLATE 136G;2,45;6,00;7622300741136
BISCOITO TRAKINAS MAIS MORANGO 136G;2,45;5,00;7622300741174
BOMBOM AMOR CARIOCA DUO UN;0,55;48,00;78934160
BOMBOM AMOR CARIOCA UN 20G (49);0,80;270,00;78907188
BOMBOM FERRERO ROCHER 3UN;4,15;12,00;78909434
BOMBOM SERENATA DE AMOR 20G  50UN;0,80;734,00;78912328
BOMBON AMOR CARIOCA PAC 1KG (49);29,50;3,00;7891330000173
BOMBONS GAROTO SORTIDOS 355G;8,60;3,00;7891008121025
BRIGADEIRO SANTA CLARA  400G;4,45;2,00;7896504305573
CAIXA  BOMBOM ARCOR 200G;5,95;18,00;7898142855823
CAIXA BOMBOM GAROTO 300G;8,45;6,00;7891008209013
CAIXA NEUGEBAUER LEMBRANÇAS 310G;6,65;7,00;7891330012015
CASCAO CHOCOLATE;4,50;44,00;51
CHARGE NESTLE 40G;1,25;18,00;7891000464908
CHICLE BIG BIG AMOR 200GR C/40 UN;0,15;200,00;7891118011896
CHICLE BOM DE BOLA HORTELA UN;0,10;100,00;48
CHICLE BOM DE BOLA T.FRUTTI;0,10;195,00;47
CHICLE CLISS FLORESTAL HORTELA C/12UN;0,75;12,00;7896321009920
CHICLE CLISS FLORESTAL MENTA C/12UN;0,75;2,00;7896321009937
CHICLE CLISS FLORESTAL TUTTI FRUTI C/12UN;0,75;18,00;7896321009913
CHICLE POOSH 2X MENTA/MORANGO;0,20;195,00;78917712
CHICLE POOSH FIZZ MORANGO;0,20;40,00;78928435
CHICLE POOSH FIZZ TANGERINA;0,20;40,00;78917729
CHICLE POOSH HORTELA;0,20;400,00;78927995
CHICLE POOSH INK TUTTI FRUTTI/HORTELA;0,20;238,00;78919365
CHICLE POOSH MORANGO;0,20;628,00;78928008
CHICLE POOSH TUTTI FRUTTI;0,20;479,00;78927988
CHICLE POOSH UVA;0,20;713,00;78928015
CHOCOLATE ARCOR TORTUGUITA  28G;1,10;15,00;78933590
CHOCOLATE ARCOR TORTUGUITA BCO COOKIES 550G;2,15;11,00;7898142861343
CHOCOLATE BATAN  BASTAO DUO BRANCO 16G;0,80;23,00;78930193
CHOCOLATE BATON BASTAO CREME/MORANGO 16G;0,80;17,00;78936911
CHOCOLATE BATON GAROTO BASTAO 16G;0,80;751,00;78912359
CHOCOLATE BATON GAROTO BASTAO BRANCO 16G;0,70;12,00;78912366
CHOCOLATE BATON GAROTO BASTAO CREME 16G;0,70;63,00;78930230
CHOCOLATE BATON GAROTO TABLETE 76G;2,95;9,00;7891008013009
CHOCOLATE EM PO GAROTO 100% CACAU;13,80;4,00;7891008042023
CHOCOLATE EM PO GAROTO 200G;9,05;1,00;7891008040029
CHOCOLATE GAROTO CARIBE 28G;1,50;28,00;78930223
CHOCOLATE HARALD MEIO AMARGO;22,90;26,00;7622300786601
CHOCOLATE LACTA DIAMANTE NEGRO 25G;1,30;16,00;7622300732981
CHOCOLATE LACTA LAKA 25G;1,30;12,00;7622300733025
CHOCOLATE LACTA SHOT 25G;1,30;13,00;7896019355216
CHOCOLATE MILKY WAY 52,2G;1,79;38,00;7506174500214
CHOCOLATE MU MU KIDS AO LEITE 65G;2,60;8,00;7891330015610
CHOCOLATE MU MU KIDS BRANCO 65G;2,60;7,00;7891330015658
CHOCOLATE NEUGEBAUER NAPOLITANO 70G;2,95;31,00;7891330014934
CHOCOLATE SNICKERS 52,7G;2,25;133,00;7506174500207
CHOCOLATE TALENTO AMENDOAS E PASSAS 25G;2,25;43,00;78907492
CHOCOLATE TALENTO AVELA 25G;0,00;70,00;78907461
CHOCOLATE TALENTO CASTANHAS DO PARA 25G;1,75;5,00;78907478
CHOCOLATE TWIX 45G;1,79;49,00;7896423424539
CHOCOVINHOS ARCOR TORTUGUITA CHOCOLATE 50G;2,20;12,00;7898142853638
CHOKITO NESTLE 32G;1,60;175,00;7891000462300
COELHO DE CHOCOLATE GAROTO 50G;5,75;11,00;78918573
CONFEITO PIETROBON AMENDOIN COLORIDO 300G;4,95;1,00;7896731003945
CONFEITO STIVALI COLORIDO 40G;1,95;2,00;7896273900672
CONFEITO STIVALI GRANULADO COLORIDO 40G;2,50;6,00;7896273902799
CONFEITO VINOLAR GRANULADO 90G;1,68;3,00;7898409400414
CONFEITO VINOLAR PRATEADO 90G;2,95;4,00;7898409400971
CONFEITOS KI TEMPER COLORIDOS 42G;1,85;8,00;7898019680060
COOKIES CASAREDO TRAD.NOBRES 80G;2,35;6,00;7896408443159
CX AMOR CARIOCA NEUGEBAUER 300G;6,80;59,00;7891330000166
DELETAR ESTE;0,15;148,00;896321000224
DELIKET DORI CONFETI FRUTAS 70G;1,50;30,00;7896058500752
DELIKET FRUTAS CONFETI 20G;0,50;13,00;7896058592504
DENTE DE VANPIRO DOCILE GELATINES 80G;3,50;19,00;7896451906175
DOCE BOM PRINCIPIO DE CANA 400G;3,98;3,00;7897500600907
DOCE DE LEITE MIRIAM 15G;0,55;232,00;7896485402155
DOCE DELIKET DORI 100G;1,70;1,00;7896058501704
DOCE SANTA CLARA ABOBORA C/COCO 400G;4,35;13,00;7896504301926
DOCE SANTA CLARA FIGO 400G;4,35;9,00;7896504301902
DOCE SANTA CLARA GOIABA 400G;4,35;12,00;7896504301919
DOCE SANTA CLARA MORANGO 400G;4,90;5,00;7896504305221
DOCE SANTA CLARA UVA 400G;4,35;12,00;7896504301896
DOCE SANTA CLARA UVA BALDE 4,8KG;8,40;4,17;000159
DOCE VINOLAR UVA 280G;3,99;3,00;7898409402562
DTONE VITARELLA ISABELA 126G C/20UN;3,48;9,00;7896213003203
F7895800310847;1,50;22,00;7895800310847
FLAN DR.OETKER BAUNILHA 30G;2,35;1,00;7891048047088
FREEGELLS 3 X 1 MOR CHOC CRISTAIS 10UN;1,00;7,00;7891151024396
FREEGELLS AZEDINHO MAÇA VERDE 10UN;1,00;12,00;7891151028493
FREEGELLS AZEDINHO MORANGO C/10UN;1,00;11,00;7891151027724
FREEGELLS AZEDINHO UVA 10UN;1,00;2,00;7891151028400
FREEGELLS EUCALIPTO MENTOL 10UN;1,00;8,00;7891151001458
FREEGELLS MELANCIA C/CRISTAIS FRESH 10UN;1,00;11,00;7891151028028
FREEGELLS MELÃO 10UN;1,00;6,00;7891151007184
FREEGELLS MENTA 10UN;1,00;33,00;7891151001465
FREEGELLS MENTA CHOC 10UN;1,00;16,00;7891151003629
FREEGELLS MENTOL EXTRA FORTE 10UN;1,00;12,00;7891151003834
FREEGELLS MORANGO CHOC 10UN;1,00;9,00;7891151003605
FREEGELLS MORANGO CREAM 10UN;1,00;8,00;7891151021159
FREEGELLS NATURALS E.STRONG C/10UN;1,00;12,00;7891151032926
FREEGELLS TUBE S/AÇUCAR FRESHMINT 9G;1,95;14,00;7891151032278
FREEGELLS TUBE SORTIDO S/AÇUCAR UN;1,95;55,00;7891151032247
FRUIT TELLA BAUNILHA C/9UN 31,5G;1,60;14,00;7895144898803
FRUIT TELLA MORANGO/CREME C/9UN (16);1,50;13,00;7895144898810
FRUITTELLA MORANGO 40G C/10UN;1,60;12,00;7896262301022
FRUITTELLA MORANGO C/ LEITE CONDENSADO 10UN;1,60;30,00;7895144028019
GELATINA ROYAL ENV MORANGO 35G;1,17;3,00;7622300242558
GOMA DOCILE GOMOS FRUTAS 240G;2,98;10,00;7896451907844
GOMA DOCILE GURT 240G;2,98;9,00;7896451907820
GOMA DOCILE MINHOCAS AZEDINHAS 240G;2,98;9,00;7896451907837
GOMA DOCILE SINO FRUTAS SORTIDAS 240G;2,98;2,00;7896451907813
GOMA DORI MINI GOMETS 100G;1,60;4,00;7896058505467
GOMA PIETROBON TURMINHA MIX 300G;4,95;2,00;7896731005352
GOMA TUBO DOCILE FRUTAS DOCIGOMA 31G;0,50;53,00;7896451908469
GOMA TUBO DOCILE GURT 39G;0,70;68,00;7896451906564
GOMA TUBO DORI GOMETS FRUTAS 32G;0,50;381,00;7896058506105
GOMA TUBO DORI GOMETS IOGURTE 32G;0,50;57,00;7896058506099
GRANULADO DORI HAPPY MANIA 70G;1,30;6,00;7896058501568
GRANULADO VINOLAR CHOC ESCURO 90G;1,87;9,00;7898409400407
GRANULADO VISCONTI TRAD 130G;3,15;6,00;7898292883868
GRANULADO VISCONTI TRAD 70G;1,85;9,00;7898292883875
HALLS CEREJA LIPTUS 37G;1,50;12,00;7895800300145
HALLS EXTRA FORTE PRETO 34G;1,50;89,00;7895800303313
HALLS MELANCIA LYPTUS 34G;1,50;13,00;7895800308721
HALLS MENTA LYPTUS 34G;1,50;83,00;7895800303320
HALLS MENTHO-LYPTUS 34G;1,50;52,00;7895800300381
HALLS MORANGO LYPTUS 34G;1,50;53,00;7895800304679
HAPPYDENT WHITE CEREJA E MENTOL S/AÇUCAR 12UN;2,50;24,00;7895144059037
HAPPYDENT WHITE MENTA S/AÇUCAR 10UN;2,50;35,00;7895144059013
KINDER CHOC BARRA 12,5G;1,00;43,00;80050315
KINDER JOY C/SURPRESA;5,90;99,00;78602731
KINDER OVO BARBIE 20G;5,90;54,00;78933989
KINDER OVO C/ SURPRESA 20G;0,00;240,00;40084107
KINDER OVO HOTWHEELS 20G;0,00;44,00;78934078
KINDER OVO PONY TRANSFORM 20G;0,00;37,00;78935556
KINDER OVO RIO 2 C/ SURPRESA 20G;0,00;35,00;78931046
KISSES HERSHEYS AO LEITE 230G;22,26;2,00;7898292885466
KISSES HERSHEYS MEIO AMARGO 230G;22,26;2,00;7898292885473
KISSES HERSHEYS OVOMALTINE 245G;22,26;2,00;7898292886449
KIT KAT NESTLE 16,7G;1,10;15,00;78933262
KIT KAT NESTLE 45G;2,49;131,00;7613033353321
KIT KAT NESTLE 45G;2,99;37,00;7891000113417
LEITE CONDENSADO PIRACANJUBA 395G;2,97;3,00;7898215152002
M&MS MINI CHOC AO LEITE TUBO 30G;3,00;124,00;7896423419276
M&MS SACHE CHOC AO LEITE 52G;3,00;127,00;7896423420456
MANDOLATE MERTZ 250G;4,76;14,00;7898210381216
MARSHMALLOW FINI 12G;1,35;13,00;7898279797584
MAX MALLOWS DOCILE 50G;3,50;7,00;7896451909220
MAX MALLOWS DOCILE TWIST BAUNILHA 50G;3,50;11,00;7896451909213
MENTOS BLUEBERRY C/CHA BRANCO 31,2G;1,70;10,00;7895144293974
MENTOS CENTER FRESH  MINT BOX C12UN;1,60;9,00;7895144603292
MENTOS CRANBERRY C/CHA BRANCO 32,1G;1,70;8,00;7895144293967
MENTOS FRUTAS C/16UN;1,60;50,00;7896262304351
MENTOS FRUTAS RAINBOW C/14UN (16);1,80;65,00;7895144603148
MENTOS MINI POTE SABORES C/80UN;0,50;76,00;7895144063904
MENTOS MINT C/14UN (16);1,80;87,00;7896262304306
MENTOS PURE FRESH /WHITE UN (60);0,20;120,00;7895144080239
MENTOS PURE FRESH /WHITE/T.FRUTTI SORTIDO;2,00;1.416,00;7895144080338
MENTOS PURE FRESH 3 MENTA  5 GOMAS;1,50;39,00;7895144892931
MENTOS PURE FRESH GAR MINT 56G;8,90;6,00;78922327
MENTOS PURE FRESH MINT 4 GOMAS;0,75;13,00;7895144080802
MENTOS PURE FRESH REFIL 28GOMAS;5,50;20,00;7895144203867
MENTOS PURE FRESH WINTERGREEN C/4GOMAS 6G;0,80;7,00;7895144080819
MENTOS PURE FRUIT MORANGO C/ 4GOMAS 6G;0,80;3,00;7895144293950
MENTOS SLIM BOX UVA 32,5G (12);1,80;2,00;7895144605333
MENTOS TEENS PERFETTI 35G;1,60;4,00;7895144605203
MENTOS UP2U MORANGO MENTA S/AÇUCAR 26,6G;4,75;9,00;7895144010342
MENTOS WHITE TUTTI FRESH 8,5;1,50;11,00;7895144896496
MENTOS YOGURT/MORANGO C/16UN;1,60;6,00;7895144603087
MINI BALA PECCIN FRIEXS UN;0,05;610,00;140
